Date,Description,Amount,Category,Account
2024-12-10,SPOTIFY,-11.99,Subscriptions,Starling Business
2024-12-11,APPLE ICLOUD 2TB,-3.99,Subscriptions,Starling Business
2024-12-12,ADOBE CREATIVE CLOUD,-54.99,Software,Starling Business
2024-12-13,CANVA PRO,-12.99,Software,Starling Business
2024-12-14,SLACK PRO,-7.25,Software,Starling Business
2024-12-15,ZOOM PRO,-13.99,Software,Starling Business
2024-12-16,DROPBOX PLUS,-11.99,Software,Starling Business
2024-12-17,TRAINLINE,-94.00,Transport,Starling Business
2024-12-18,CHRISTMAS DINNER - CASAMIA,-84.60,Dining,Starling Business
2024-12-19,AMAZON,-48.99,Shopping,Starling Business
2024-12-20,LIDL BRISTOL,-62.40,Groceries,Starling Business
2024-12-22,AMAZON KINDLE UNLIMITED,-11.99,Subscriptions,Starling Business
2024-12-23,NATIONAL RAIL,-56.00,Transport,Starling Business
2024-12-27,TESCO EXPRESS,-38.40,Groceries,Starling Business
2024-12-30,WETHERSPOONS,-24.60,Dining,Starling Business
2025-01-02,AWS - AMAZON WEB SERVICES,-68.80,Software,Starling Business
2025-01-03,GITHUB PRO,-3.99,Software,Starling Business
2025-01-04,NOTION AI,-16.00,Software,Starling Business
2025-01-05,FIGMA PROFESSIONAL,-14.00,Software,Starling Business
2025-01-06,REGUS COWORKING BRISTOL,-280.00,Office,Starling Business
2025-01-07,RENT - BANK TRANSFER,-900.00,Housing,Starling Business
2025-01-08,LINKEDIN PREMIUM,-39.99,Software,Starling Business
2025-01-09,SPOTIFY,-11.99,Subscriptions,Starling Business
2025-01-10,APPLE ICLOUD 2TB,-3.99,Subscriptions,Starling Business
2025-01-11,ADOBE CREATIVE CLOUD,-54.99,Software,Starling Business
2025-01-12,CANVA PRO,-12.99,Software,Starling Business
2025-01-13,SLACK PRO,-7.25,Software,Starling Business
2025-01-14,ZOOM PRO,-13.99,Software,Starling Business
2025-01-15,DROPBOX PLUS,-11.99,Software,Starling Business
2025-01-16,LIDL BRISTOL,-44.20,Groceries,Starling Business
2025-01-17,BOSTON TEA PARTY,-6.40,Dining,Starling Business
2025-01-18,STARBUCKS,-5.80,Dining,Starling Business
2025-01-20,Client payment - Vertex Studio Ltd,3200.00,Income,Starling Business
2025-01-22,NATIONAL RAIL,-48.00,Transport,Starling Business
2025-01-24,TRAINLINE,-66.00,Transport,Starling Business
2025-01-25,SAINSBURYS,-56.40,Groceries,Starling Business
2025-01-27,AMAZON KINDLE UNLIMITED,-11.99,Subscriptions,Starling Business
2025-01-28,AMAZON - DESK LAMP,-34.99,Equipment,Starling Business
2025-01-29,TESCO EXPRESS,-36.80,Groceries,Starling Business
2025-01-31,WETHERSPOONS,-14.40,Dining,Starling Business
