Date,Description,Amount,Category,Account
2025-02-19,BRITISH GAS,-78.50,Utilities,Barclays Current
2025-02-20,COUNCIL TAX DIRECT DEBIT,-142.00,Bills,Barclays Current
2025-02-21,MARKS AND SPENCER,-62.40,Shopping,Barclays Current
2025-02-22,THE WETHERSPOON,-18.60,Dining,Barclays Current
2025-02-24,CURZON CINEMA MAYFAIR,-14.50,Entertainment,Barclays Current
2025-02-26,SAINSBURYS SUPERSTORE,-71.80,Groceries,Barclays Current
2025-02-28,SKY BROADBAND,-38.00,Bills,Barclays Current
2025-03-01,TFL TRAVEL CHARGE,-42.00,Transport,Barclays Current
2025-03-03,LIDL GB,-36.20,Groceries,Barclays Current
2025-03-05,STARBUCKS,-5.80,Dining,Barclays Current
2025-03-07,SALARY - NEXUS DIGITAL LTD,3400.00,Income,Barclays Current
2025-03-08,NETFLIX.COM,-17.99,Subscriptions,Barclays Current
2025-03-09,SPOTIFY AB,-11.99,Subscriptions,Barclays Current
2025-03-10,DELIVEROO,-24.80,Dining,Barclays Current
2025-03-11,PURE GYM LTD,-26.99,Health,Barclays Current
2025-03-12,H&M,-54.00,Shopping,Barclays Current
2025-03-13,AMAZON MARKETPLACE,-68.99,Shopping,Barclays Current
2025-03-14,BRITISH GAS,-72.00,Utilities,Barclays Current
2025-03-15,THREE MOBILE,-18.00,Bills,Barclays Current
2025-03-17,WAGAMAMA,-38.50,Dining,Barclays Current
2025-03-18,APPLE MUSIC,-10.99,Subscriptions,Barclays Current
2025-03-19,TESCO METRO,-79.40,Groceries,Barclays Current
2025-03-20,COUNCIL TAX DIRECT DEBIT,-142.00,Bills,Barclays Current
2025-03-21,UBER TRIP,-14.80,Transport,Barclays Current
2025-03-22,SKY BROADBAND,-38.00,Bills,Barclays Current
2025-03-24,TRAINLINE,-42.00,Transport,Barclays Current
2025-03-25,ASOS,-112.00,Shopping,Barclays Current
2025-03-27,SAINSBURYS SUPERSTORE,-66.40,Groceries,Barclays Current
2025-03-28,AMAZON PRIME,-8.99,Subscriptions,Barclays Current
2025-03-29,NANDOS,-34.60,Dining,Barclays Current
2025-04-01,TFL TRAVEL CHARGE,-38.40,Transport,Barclays Current
2025-04-02,WAITROSE 404,-94.20,Groceries,Barclays Current
2025-04-04,PRET A MANGER,-7.20,Dining,Barclays Current
2025-04-07,SALARY - NEXUS DIGITAL LTD,3400.00,Income,Barclays Current
2025-04-08,NETFLIX.COM,-17.99,Subscriptions,Barclays Current
2025-04-09,SPOTIFY AB,-11.99,Subscriptions,Barclays Current
2025-04-10,PURE GYM LTD,-26.99,Health,Barclays Current
2025-04-11,BRITISH GAS,-64.00,Utilities,Barclays Current
2025-04-12,THREE MOBILE,-18.00,Bills,Barclays Current
2025-04-13,APPLE MUSIC,-10.99,Subscriptions,Barclays Current
2025-04-14,AMAZON PRIME,-8.99,Subscriptions,Barclays Current
2025-04-16,COUNCIL TAX DIRECT DEBIT,-142.00,Bills,Barclays Current
2025-04-17,UBER EATS,-22.40,Dining,Barclays Current
2025-04-18,SKY BROADBAND,-38.00,Bills,Barclays Current
2025-04-19,LIDL GB,-44.60,Groceries,Barclays Current
2025-04-20,IKEA WEMBLEY,-148.00,Shopping,Barclays Current
2025-04-21,COTE BRASSERIE,-52.40,Dining,Barclays Current
2025-04-22,TRAINLINE,-28.50,Transport,Barclays Current
2025-04-23,CURZON CINEMA SOHO,-14.50,Entertainment,Barclays Current
2025-04-25,TESCO EXPRESS,-24.80,Groceries,Barclays Current
2025-04-26,BOOTS PHARMACY,-28.60,Health,Barclays Current
2025-04-27,TESCO METRO,-38.20,Groceries,Barclays Current
2025-04-29,PIZZA EXPRESS,-44.20,Dining,Barclays Current
2025-05-01,TFL TRAVEL CHARGE,-44.00,Transport,Barclays Current
2025-05-02,SAINSBURYS SUPERSTORE,-72.40,Groceries,Barclays Current
2025-05-04,STARBUCKS,-6.40,Dining,Barclays Current
2025-05-07,SALARY - NEXUS DIGITAL LTD,3400.00,Income,Barclays Current
2025-05-08,NETFLIX.COM,-17.99,Subscriptions,Barclays Current
2025-05-09,SPOTIFY AB,-11.99,Subscriptions,Barclays Current
2025-05-10,PURE GYM LTD,-26.99,Health,Barclays Current
2025-05-11,BRITISH GAS,-58.00,Utilities,Barclays Current
2025-05-12,THREE MOBILE,-18.00,Bills,Barclays Current
2025-05-13,APPLE MUSIC,-10.99,Subscriptions,Barclays Current
2025-05-14,AMAZON MARKETPLACE,-44.99,Shopping,Barclays Current
2025-05-15,COUNCIL TAX DIRECT DEBIT,-142.00,Bills,Barclays Current
2025-05-16,DELIVEROO,-36.80,Dining,Barclays Current
2025-05-17,SKY BROADBAND,-38.00,Bills,Barclays Current
2025-05-18,ALDI STORES,-51.20,Groceries,Barclays Current
2025-05-19,TRAINLINE,-56.00,Transport,Barclays Current
2025-05-20,REVOLUTION COCKTAIL BAR,-42.00,Entertainment,Barclays Current
2025-05-21,WAHACA COVENT GARDEN,-38.40,Dining,Barclays Current
2025-05-22,UBER TRIP,-16.20,Transport,Barclays Current
2025-05-23,AMAZON PRIME,-8.99,Subscriptions,Barclays Current
2025-05-24,TESCO METRO,-63.80,Groceries,Barclays Current
2025-05-26,H&M,-67.00,Shopping,Barclays Current
2025-05-27,PRET A MANGER,-7.80,Dining,Barclays Current
2025-05-29,BRICK LANE CURRY HOUSE,-29.40,Dining,Barclays Current
2025-05-31,ODEON CINEMA,-24.00,Entertainment,Barclays Current
